segment_id,case_id,audio_asset_id,start_time_sec,end_time_sec,speaker,text_sha256,raw_text_committed
vz_2024_q4_00001,vz_2024_q4,vz_2024_q4_audio,0.0,5.8,,sha256:991cc24134fe0dc42d572d4e8eb898d2a18cf54147fe8c9c30dba4e0baa584ff,false
vz_2024_q4_00002,vz_2024_q4,vz_2024_q4_audio,5.8,10.4,,sha256:cf5073420e322f7b51a97409fe1426149d0f9da42f8acfb7339ac768ee56339b,false
vz_2024_q4_00003,vz_2024_q4,vz_2024_q4_audio,10.4,15.76,,sha256:ac6d6f593f84ac3d7c578fe3e914990be068d8d1d88dcbec99fb9366786f3acb,false
vz_2024_q4_00004,vz_2024_q4,vz_2024_q4_audio,15.76,22.400000000000002,,sha256:195ad3ab8537c4ee848e98b9a4913510609b444542b4ea350bdb0c21f4add516,false
vz_2024_q4_00005,vz_2024_q4,vz_2024_q4_audio,22.400000000000002,25.2,,sha256:19de1fc68930ad94d0968cf77b2e354a52ec42a5e8722030d1b6f17fc8d7a014,false
vz_2024_q4_00006,vz_2024_q4,vz_2024_q4_audio,25.2,29.6,,sha256:f0d71dc8854f1f7ca06f8d5a77642732d786336c8fcb09ce201d35b6c5f4eb06,false
vz_2024_q4_00007,vz_2024_q4,vz_2024_q4_audio,29.6,34.4,,sha256:4947d689b1f699c028a85638e554070600640b082f83a6c026f8b07785e44342,false
vz_2024_q4_00008,vz_2024_q4,vz_2024_q4_audio,34.4,38.32,,sha256:4fbd41e02cd2436827ec33cf744c72aca089f8877f82d2583bd26bbdb645ed5e,false
vz_2024_q4_00009,vz_2024_q4,vz_2024_q4_audio,38.32,43.6,,sha256:0280be17ae41c8dbe6364f105aad74ac50f5fe58cb140e525fa50843da500e28,false
vz_2024_q4_00010,vz_2024_q4,vz_2024_q4_audio,43.6,47.6,,sha256:87bbc775d38e160ef1361edeb328296353bab64ed8e65290fc6f469a13fb8461,false
vz_2024_q4_00011,vz_2024_q4,vz_2024_q4_audio,47.6,52.64,,sha256:fd62b2c62eed443481dae9a1e8bf55125f34bb27dc1e3ddfcebca50875242498,false
vz_2024_q4_00012,vz_2024_q4,vz_2024_q4_audio,52.64,56.56,,sha256:f21faa7ded8e2c451d09c96651552344778a762b2e295a8ce2e1d63922b39078,false
vz_2024_q4_00013,vz_2024_q4,vz_2024_q4_audio,56.56,63.2,,sha256:08bd9e666c568266f88cf6b5045603bfc6f8cd70f200ccd1eefb8a3c53478cc7,false
vz_2024_q4_00014,vz_2024_q4,vz_2024_q4_audio,63.2,66.4,,sha256:64dfcfbc5139593804d059749de5f8914951af31079d477851fb7feb7217049d,false
vz_2024_q4_00015,vz_2024_q4,vz_2024_q4_audio,66.4,71.84,,sha256:6ff832d0d0ca543398fed696ce747a249c61dd20c9e4e17dc4e8a2c194dc525e,false
vz_2024_q4_00016,vz_2024_q4,vz_2024_q4_audio,71.84,78.24000000000001,,sha256:2aaa9a4edb4decd07664078c32a19a3c335ec4edb76726d8610ebd3441126da2,false
vz_2024_q4_00017,vz_2024_q4,vz_2024_q4_audio,78.8,84.24,,sha256:55d8c20244a4dc54fb2ac022d0d718f5ea2bf12a8716a11bd3e440dfd19670d4,false
vz_2024_q4_00018,vz_2024_q4,vz_2024_q4_audio,84.24,89.83999999999999,,sha256:a3546ee7f8ce3a1e74bb917a5e5014ad163e8338d2872e41651d7573f7050c41,false
vz_2024_q4_00019,vz_2024_q4,vz_2024_q4_audio,90.72,97.91999999999999,,sha256:2df612a0321c2b7cb6c3b5c94c59f0dae7859e0a56ea4c63e48b0c813a7b5051,false
vz_2024_q4_00020,vz_2024_q4,vz_2024_q4_audio,97.91999999999999,101.6,,sha256:4146642934b65a4d8f9bf828791761808edcce1598fe4aac59fdda28e10e7256,false
vz_2024_q4_00021,vz_2024_q4,vz_2024_q4_audio,102.56,108.00000000000001,,sha256:ca75a12e4698c0fa95e83cf15ffe9927c524d6a8fc3d1ef8d00275aaffbdc0b6,false
vz_2024_q4_00022,vz_2024_q4,vz_2024_q4_audio,108.00000000000001,113.76,,sha256:ce7e08890e3291c8e002c85d57b3c0a732bcf3322c47b9083ec1eee46cbed4d1,false
vz_2024_q4_00023,vz_2024_q4,vz_2024_q4_audio,113.76,119.28,,sha256:b235d44771692c034c97546a583bf372bf004a669e16df5b088896d5fbdbdd69,false
vz_2024_q4_00024,vz_2024_q4,vz_2024_q4_audio,120.00000000000001,125.36000000000001,,sha256:ad9b3ff3e27dfa34aee497a22d1006b2a37dc34a2e6df9436c7ebbe3ae84de5b,false
vz_2024_q4_00025,vz_2024_q4,vz_2024_q4_audio,125.36,132.32,,sha256:ca1024cfa006f684ff20c3de6dac4476e2495b9ce2d4face42edc219b9b8712d,false
vz_2024_q4_00026,vz_2024_q4,vz_2024_q4_audio,133.12,138.56,,sha256:489fc80ec49ac3cb248eb78bc13ecf68d9036aa1ab33944ca808ebe9d33c5a62,false
vz_2024_q4_00027,vz_2024_q4,vz_2024_q4_audio,138.56,145.12,,sha256:2bc5f6f10998aa1ffb33b3d53462a0cc458d1e2cc078d24be08c4305cee35fad,false
vz_2024_q4_00028,vz_2024_q4,vz_2024_q4_audio,145.12,152.07999999999998,,sha256:57cec4c20829d02a8ec408af2cce5227b9f8e16338ae2b7ee843e504cd921cac,false
vz_2024_q4_00029,vz_2024_q4,vz_2024_q4_audio,152.08,157.60000000000002,,sha256:71013e2f4f6166949aa22dcd3e01576fbcfa4e6f45243f5e4dff4b9460899860,false
vz_2024_q4_00030,vz_2024_q4,vz_2024_q4_audio,157.60000000000002,163.84,,sha256:e275b58fdb9f01158067a22a4c3971152d04b2018e2c4ed922d20ec8b2c09498,false
vz_2024_q4_00031,vz_2024_q4,vz_2024_q4_audio,163.84,169.92000000000002,,sha256:caab1a3d8cb67ca9c5751d2400b9053d79f004ea6fcd566e0ecd4968a8870b1f,false
vz_2024_q4_00032,vz_2024_q4,vz_2024_q4_audio,169.92000000000002,174.72000000000003,,sha256:0019e891bd181d72fa3b4cbd54576ec27fadfa86b484bcfa32e4525f00086647,false
vz_2024_q4_00033,vz_2024_q4,vz_2024_q4_audio,174.72000000000003,179.12,,sha256:aab70b5affc6eb621855da561b3b0b133f20fd92e1722075a42025a7332ae927,false
