chunk_id,case_id,ticker,asset_id,asset_type,chunk_type,section,speaker_role,source_sha256,text_sha256,local_chunk_path,start_char,end_char,start_time_sec,end_time_sec,rights_status,rag_eligible,raw_text_committed
chunk_9b5b69343be3dc39,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,prepared_remarks,prepared_remarks,management,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:010dc3d3595250195fa9ed8f53343d7c9e2f07c773bb57e30316a08692debd12,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_9b5b69343be3dc39.txt,93,276,,,safe_to_download,true,false
chunk_8312e10b2b34ac51,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:7a61c57d9eb014f936601bea1f59fa8d4d0029d0291a5437a238eae9d74c46be,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_8312e10b2b34ac51.txt,3907,6407,,,safe_to_download,true,false
chunk_74907725bf627e12,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:8481a72b38862da29fc5c324588ce200a02b2736c86b8d13cfaf55a0d5ffe61c,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_74907725bf627e12.txt,6407,8907,,,safe_to_download,true,false
chunk_ee86824b5a9b154e,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:5d4d86eba25707b11448a220b8142fcc0ea40a53d270e1dae3f51817ed62befd,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_ee86824b5a9b154e.txt,8907,11407,,,safe_to_download,true,false
chunk_61f3cdfc354998fa,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:58f611d85b3e731f5121354e22d3017ea27704988c459f31cd38841637f138cc,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_61f3cdfc354998fa.txt,11407,13907,,,safe_to_download,true,false
chunk_bd91d74a8b2b9eae,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:93bb79ae4cc62cf04aab70c12dedbeeddee16416c91ab403c082afc0543b87bf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_bd91d74a8b2b9eae.txt,13907,16407,,,safe_to_download,true,false
chunk_1396c759c76d4d58,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:04e541299d07f3f22dae7049d3d4e5f8e754ac3037e760e047865624046d19e0,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_1396c759c76d4d58.txt,16407,18907,,,safe_to_download,true,false
chunk_9eddee973c1f7232,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:18d9211def90a86f3629aacf5a133d399f1b37a591c7eeb10f7abcec02d51c69,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_9eddee973c1f7232.txt,18907,21407,,,safe_to_download,true,false
chunk_9557be3688597e55,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:09345f5f9b857bf8641b2e8f2de34450d0cd18c0066046115b572349ab1d3c4d,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_9557be3688597e55.txt,21407,23907,,,safe_to_download,true,false
chunk_c638d6da6ad94e68,hd_2025_q4,HD,hd_2025_q4_transcript,transcript,semantic_fallback,unknown,unknown,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:365f25501fbd21cc81b5b124f93a8967b785d4d351f0e4a2286d48fc54ce115f,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/chunks/transcript/chunk_c638d6da6ad94e68.txt,23907,26407,,,safe_to_download,true,false
