source_id,case_id,ticker,company_name,fiscal_year,fiscal_quarter,asset_type,source_type,source_url,source_domain,rights_status,allow_download,allow_eval_use,allow_training_use,commit_allowed,approval_ref,approved_by,approved_at,license_config_ref,youtube_written_authorization_ref,explicit_training_rights_ref,provenance_hash,blocked_reason
src_ff138c9a772edd05f,jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025,Q4,transcript,official_ir_transcript,https://www.jpmorganchase.com/ir,www.jpmorganchase.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:30afc45afa224f5de64d043298a621466117126734c2fd72d2225a0d72a29593,
src_217382896bb85f28c,jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025,Q4,audio,official_ir_webcast,https://www.jpmorganchase.com/ir,www.jpmorganchase.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:3ad3a1c7acebecb77e9efda6056fbdf05c6d41d0105f5027a4e6321b7905666d,
src_04de754751aab5cee,bac_2025_q4,BAC,Bank of America Corporation,2025,Q4,transcript,official_ir_transcript,https://investor.bankofamerica.com/,investor.bankofamerica.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:fc817a2148a33abc5d89925733ed915ff6c080e0c9fdd0e945b34a4ceb75b857,
src_c906aec2ddf5a0d78,bac_2025_q4,BAC,Bank of America Corporation,2025,Q4,audio,official_ir_webcast,https://investor.bankofamerica.com/,investor.bankofamerica.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:19cd62e2e3cfed9e68cdf843b06e85c26c7280ee9a8add3e834d0ca4402386e7,
src_6f4b1d0cb11ce8a9e,c_2025_q4,C,Citigroup Inc.,2025,Q4,transcript,official_ir_transcript,https://www.citigroup.com/global/investors,www.citigroup.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:a1718f35046408260acb40ba56a7c1e9dd8685b39926cc73b4da3557e3c59d2d,
src_79eb89e57f22880bb,c_2025_q4,C,Citigroup Inc.,2025,Q4,audio,official_ir_webcast,https://www.citigroup.com/global/investors,www.citigroup.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:c12f500b04912a0ddc03140a4c704b230d438741b800af6544c2165f163976d3,
src_a59945462d6f7e7c2,wfc_2025_q4,WFC,Wells Fargo & Company,2025,Q4,transcript,official_ir_transcript,https://www.wellsfargo.com/about/investor-relations/,www.wellsfargo.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:f37a19fb5db2690a6de7d78eca6778ae7183c2bbd113322cf894d50cb1da93bb,
src_f529c08e1f6274f55,wfc_2025_q4,WFC,Wells Fargo & Company,2025,Q4,audio,official_ir_webcast,https://www.wellsfargo.com/about/investor-relations/,www.wellsfargo.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:52e005707d7a11f751cef8bdd1673e984ce7a6daf1fcfb4580349965a958f6d1,
src_178f6917f8096cf48,gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",2025,Q4,transcript,official_ir_transcript,https://www.goldmansachs.com/investor-relations/,www.goldmansachs.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:ce88834f2c31c10bb5e31b4826c9e77847c2c9350fa870c1ec3d2324ceb16434,
src_69066d34563f0c4d5,gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",2025,Q4,audio,official_ir_webcast,https://www.goldmansachs.com/investor-relations/,www.goldmansachs.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:039e942e6e632f85ac27fc37b425dffc702b60b29f85c8b89463f742de7f7bb2,
src_5c3ae2ca4b4287660,ms_2025_q4,MS,Morgan Stanley,2025,Q4,transcript,official_ir_transcript,https://www.morganstanley.com/about-us-ir,www.morganstanley.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:2b561b1d0dd5011f0d4b04fd84b11ee8dd5ff3e84572095bef177f50b2c54229,
src_0e4d3b51e04992c0f,ms_2025_q4,MS,Morgan Stanley,2025,Q4,audio,official_ir_webcast,https://www.morganstanley.com/about-us-ir,www.morganstanley.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:0eee21a392e47811b5181ff987d025bf640c1adbfac2381a01c665d155132d70,
src_bfeb32ecc4d975808,bk_2025_q4,BK,The Bank of New York Mellon Corporation,2025,Q4,transcript,official_ir_transcript,https://www.bny.com/corporate/global/en/investor-relations.html,www.bny.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:bd3ac0d7b055f40746d39b460fc5f581059460471ab5ef49dda0e79dcbfc48d2,
src_df2b6709ab2df1b63,bk_2025_q4,BK,The Bank of New York Mellon Corporation,2025,Q4,audio,official_ir_webcast,https://www.bny.com/corporate/global/en/investor-relations.html,www.bny.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:1efbea585933ec4b08c8f0f55389cc783022871ce2a9d2f0ec017f88e414b3e1,
src_e862adffd5ae84c9c,stt_2025_q4,STT,State Street Corporation,2025,Q4,transcript,official_ir_transcript,https://investors.statestreet.com/,investors.statestreet.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:643253deb499e7a983561149041047d6fc03013f2844f26c5d38d07f7d96ce1d,
src_ac4409296a3341e1a,stt_2025_q4,STT,State Street Corporation,2025,Q4,audio,official_ir_webcast,https://investors.statestreet.com/,investors.statestreet.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:73c7e9ca6cd7a946716205b3233fbd2a59e2b295364bf784fd2961ec08778c08,
src_e410a5e7fc42041f4,usb_2025_q4,USB,U.S. Bancorp,2025,Q4,transcript,official_ir_transcript,https://ir.usbank.com/,ir.usbank.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:3db53a6395eb429504c92ac8329490efbeb8dae6ab7ac7f110f69c45fcc8681d,
src_473b0e14fd1e59217,usb_2025_q4,USB,U.S. Bancorp,2025,Q4,audio,official_ir_webcast,https://ir.usbank.com/,ir.usbank.com,safe_to_download,true,true,false,false,Keith user-authorized acquisition for Signal Engine 2.0 assessment on 2026-05-24,Keith,2026-05-24T23:38:11+00:00,,,,sha256:0a1c8b87813c5d8769618320f8a8563ce996fdb4578f1f1737a1fcd8fdcbc63f,
