object_id,object_type,case_id,ticker,company,fiscal_period,source_type,source_ref,section,speaker,topic,span_start_char,span_end_char,source_sha256,text_sha256,normalized_transcript_sha256,provenance_ref,provenance_hash,rights_tier,retrieval_priority,commit_allowed,raw_text_commit_allowed,raw_text_committed
sha256:e310c11e0f0e45401fd6fb4be,event_aligned_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_80b1bfb135d3c002.txt,prepared_remarks,management,prepared_remarks,767,809,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:fee215c8e40ae4e79e560b769d7b11148dc230c6098dc10d341138adfa7790e4,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:1f6d444daa94650e853be9fb8511e8e38cf5dde0035191bc6eba905db9693b59,safe_to_download,2,false,false,false
sha256:764260e7957912fad3eb6dc01,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_8f21b32e705d07bd.txt,unknown,unknown,semantic_fallback,4432,6932,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:ea0cf30d6459770270d16a3df9c7663b6d8a45c8e92f53dc6672f0a9082f2aa2,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:ec7504ee4bab423c9feeab28acde4a45326aa698424865e71b6579357eb5dfec,safe_to_download,3,false,false,false
sha256:6ac7b1c48965a796a2bff7272,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_2fdcc4f40d77fea1.txt,unknown,unknown,semantic_fallback,6932,9432,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:c74076521a72f435eb8b5702a8c822cd818d5697289f4beb678d79948c72ed78,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:737b8e130768ecd71ae696e3290796e96e0e5a840499f6421ee420216463a525,safe_to_download,3,false,false,false
sha256:556ab254e68134cf72b78f2da,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_2e903a957c9b9940.txt,unknown,unknown,semantic_fallback,9432,11932,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:b564a2d05bcc3687aece6ebd51d78561814bdc9c7053ced8b45f77459e5b8c71,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:3c6f759eca5a032eed6ce94392d4712be37c5d1dbbda709113f192dbc06f0516,safe_to_download,3,false,false,false
sha256:f973e38a94593d92990923a69,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_770e13a8082676b8.txt,unknown,unknown,semantic_fallback,11932,14432,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:537aca19b4a2feda7f00782611048fa7e8f830faec1fca793112329eb2b2e1f5,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:f57829e863f6bc96af806772a76b69c21590425d22741e16143f52fbaa4688d2,safe_to_download,3,false,false,false
sha256:147d579877457bf4d4b480e22,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_d48251db0608b693.txt,unknown,unknown,semantic_fallback,14432,16932,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:95a553893b36f5d71c6c46643c4ea5f5ef7d3306390cc5a318688962a9967970,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:d5eeeeff1d6030b161500ee7dfd14aa1b5f32c1123cc2afa8dcf2e0c6143fa73,safe_to_download,3,false,false,false
sha256:62b3a4726273cc8ea1efdb14d,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_01aed57bf58aeb47.txt,unknown,unknown,semantic_fallback,16932,19432,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:7b891f6edeab6f40c7a258cff05a7271ec2e319352c45c9bc2fd31b09464c2f4,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:8e0c61cda394922a27fd514da787debebb8377e31eb41f5a98e2a79afcb4731d,safe_to_download,3,false,false,false
sha256:ada2c11b792cd15bc3909a6c2,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_65df8955dc27ce6b.txt,unknown,unknown,semantic_fallback,19432,21932,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:b49f11463b39eb5fdbfaba0ffb42567754f1f6dc7e2b322c887508a8f6ad2943,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:fc683dcf5735f0a2839330f4a045afd139e6e710d6808d2ac1e2c04319e01abd,safe_to_download,3,false,false,false
sha256:b15dfe1ff38ee87f3e33b339e,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_c33a133990fbcee3.txt,unknown,unknown,semantic_fallback,21932,24432,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:46ff4c76f1c062b4910474ba71c03f29eab92c1009c7188b944be810aeebeedf,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:0a34fb075a3bc4deb1ff9026bed3319516c085531a9b88b4848e0c0cca9a0010,safe_to_download,3,false,false,false
sha256:be06814899f25c91015d85899,semantic_chunk,bac_2025_q4,BAC,Bank of America Corporation,2025 Q4,manual_local_transcript_chunk,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/chunks/transcript/chunk_7aec7ed311211f72.txt,unknown,unknown,semantic_fallback,24432,26932,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:9c35af84fbf8f3a6779f9c34b42e7c160398d0bf4c9bb21ba955fa940b984fe4,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json,sha256:75b4aa5548c3a4e963e9d83032006bb1f261415374fe4f0340a521a4ef5ec712,safe_to_download,3,false,false,false
