case_id,ticker,registered_transcript,provenance_complete,promotion_manifest_passed,explicit_training_rights_ref,training_allowed,valid_adjudicated_labels,status,blocked_reason
bac_2025_q4,BAC,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
cat_2024_q4,CAT,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
cat_2025_q1,CAT,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
cat_2025_q2,CAT,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
cat_2025_q3,CAT,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
cat_2025_q4,CAT,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
crm_2025_q4,CRM,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
dow_2025_q4,DOW,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
eqt_2025_q4,EQT,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
f_2025_q4,F,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
hd_2024_q1,HD,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
hd_2024_q2,HD,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
hd_2024_q3,HD,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
hd_2024_q4,HD,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
hig_2025_q4,HIG,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
jpm_2025_q1,JPM,true,true,true,,false,0,NOT_READY,explicit_training_rights_missing;valid_adjudicated_labels_below_100
jpm_2025_q2,JPM,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
jpm_2025_q3,JPM,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
jpm_2025_q4,JPM,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
lyb_2025_q4,LYB,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
oc_2025_q4,OC,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
omc_2025_q4,OMC,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
rddt_2025_q4,RDDT,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
rf_2025_q4,RF,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
uber_2025_q4,UBER,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
vz_2024_q4,VZ,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
vz_2025_q1,VZ,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
vz_2025_q2,VZ,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
vz_2025_q3,VZ,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
vz_2025_q4,VZ,false,false,true,,false,0,NOT_READY,explicit_training_rights_missing;provenance_incomplete;transcript_not_registered;valid_adjudicated_labels_below_100
