case_id,ticker,company_name,source_type,asset_type,source_url,source_domain,rights_status,blocked_reason,next_action,provenance_hash
jpm_2025_q4,JPM,JPMorgan Chase & Co.,youtube,video,https://www.youtube.com/results?search_query=JPM+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:ba716c9e14d0da24ab0a4acc6213b0ecfe7567976dfc79e94d4ac9817ac0ce99
jpm_2025_q4,JPM,JPMorgan Chase & Co.,vendor,transcript,licensed-vendor://blocked/JPM/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:6aee91218ba73a054e5dfc84248493269c7041ca2be27ee48d7ac59416009c57
bac_2025_q4,BAC,Bank of America Corporation,youtube,video,https://www.youtube.com/results?search_query=BAC+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:9d94714c8c9e87bd6c27c822257507a92b3e7f26c611d57ec043de09f03a7085
bac_2025_q4,BAC,Bank of America Corporation,vendor,transcript,licensed-vendor://blocked/BAC/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:75ed6a40a49e46e848bcff62d758af03db2db0cfcfde3aefd50d46f524bed78f
c_2025_q4,C,Citigroup Inc.,youtube,video,https://www.youtube.com/results?search_query=C+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:3bfe75dbf6cf44e318a298382dd31b68e0e7e2df8b1b69fd8641448343ab51f5
c_2025_q4,C,Citigroup Inc.,vendor,transcript,licensed-vendor://blocked/C/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:b2c2c488936002b4604b1760724d5f6f766414d7f29b411f0dfd6ca9b5fe280d
wfc_2025_q4,WFC,Wells Fargo & Company,youtube,video,https://www.youtube.com/results?search_query=WFC+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:3e6afdbb81bda9f22dd54f66260d72fee9482d423c5b7615bfd9cdef7f828505
wfc_2025_q4,WFC,Wells Fargo & Company,vendor,transcript,licensed-vendor://blocked/WFC/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:56995bb3069d6d8660a32ef384efe24fb108dce0eaced2902929c0dfcfa22fd1
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",youtube,video,https://www.youtube.com/results?search_query=GS+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:f20221a816669239ed1c19b0ca914c8f07166fec5f7b54e540c23c409c560e8f
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",vendor,transcript,licensed-vendor://blocked/GS/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:f9a32e5b8a735c455c4fadac791b5e1da84171aebd6b06ae0291d4b62c6684d4
ms_2025_q4,MS,Morgan Stanley,youtube,video,https://www.youtube.com/results?search_query=MS+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:7a2165e0c9be9749058e9afc26b84a0a8798816655c2832bd640df3f77b66c65
ms_2025_q4,MS,Morgan Stanley,vendor,transcript,licensed-vendor://blocked/MS/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:f4b8dc7800189cc8048be011174f1c5c64150e9c7b04c33a436f20f9c00d8612
bk_2025_q4,BK,The Bank of New York Mellon Corporation,youtube,video,https://www.youtube.com/results?search_query=BK+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:69883cb53f2e65a0d1733f19cf27083f7e9fb84962bce8a155b195c438c76357
bk_2025_q4,BK,The Bank of New York Mellon Corporation,vendor,transcript,licensed-vendor://blocked/BK/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:6ac23602bd218dbfebb0e046ac61604e5adca83b9e0531167be4b619bef46469
