case_id,ticker,transcript_status,audio_status,next_action
vz_2024_q4,VZ,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
hd_2024_q3,HD,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
hd_2024_q2,HD,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
hd_2024_q1,HD,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
hd_2024_q4,HD,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2025_q4,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2025_q3,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2025_q2,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2025_q1,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
cat_2025_q4,CAT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
cat_2025_q3,CAT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
cat_2025_q2,CAT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
cat_2025_q1,CAT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
cat_2024_q4,CAT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
bac_2025_q4,BAC,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
crm_2025_q4,CRM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
dow_2025_q4,DOW,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
eqt_2025_q4,EQT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
f_2025_q4,F,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
hig_2025_q4,HIG,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
lyb_2025_q4,LYB,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
oc_2025_q4,OC,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
omc_2025_q4,OMC,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
rddt_2025_q4,RDDT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
rf_2025_q4,RF,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
uber_2025_q4,UBER,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
vz_2025_q1,VZ,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
vz_2025_q2,VZ,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
vz_2025_q3,VZ,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
vz_2025_q4,VZ,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
f_2025_q1,F,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
f_2025_q2,F,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
f_2025_q3,F,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
lyb_2025_q1,LYB,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
lyb_2025_q2,LYB,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
lyb_2025_q3,LYB,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
rddt_2025_q2,RDDT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
rddt_2025_q3,RDDT,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2024_q1,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2024_q2,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2024_q3,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
jpm_2024_q4,JPM,NOT_CONFIGURED,NOT_CONFIGURED,set_EARNINGSCALL_API_KEY_and_license_config_ref
